,url,status_code,history,timestamp,error_msg
tx-wallisd.civicplus.com,http://tx-wallisd.civicplus.com/,200,[],2020-07-02T23:44:38.605189,
tx-wallisd2.civicplus.com,http://tx-wallisd2.civicplus.com/,200,[],2020-07-02T23:44:38.744151,
tx-watauga.civicplus.com,https://www.cowtx.org/,200,[<Response [302]>],2020-07-02T23:44:39.564499,
tx-watauga2.civicplus.com,https://www.cowtx.org/,200,[<Response [302]>],2020-07-02T23:44:40.320484,
tx-weatherford-old.civicplus.com,http://tx-weatherford-old.civicplus.com/,200,[],2020-07-02T23:44:40.456195,
tx-weatherford.civicplus.com,http://tx-weatherford.civicplus.com/,200,[],2020-07-02T23:44:40.906239,
tx-weatherford2.civicplus.com,http://ci.weatherford.tx.us/,200,[<Response [301]>],2020-07-02T23:44:41.478291,
tx-weatherford3.civicplus.com,http://tx-weatherford3.civicplus.com/,200,[],2020-07-02T23:44:41.941864,
tx-weatherford4.civicplus.com,http://tx-weatherford4.civicplus.com/,200,[],2020-07-02T23:44:42.450639,
tx-webster.civicplus.com,http://tx-webster.civicplus.com/,200,[],2020-07-02T23:44:43.097105,
tx-webster2.civicplus.com,http://tx-webster2.civicplus.com/,200,[],2020-07-02T23:44:43.764986,
tx-websterpolice.civicplus.com,,,,,"HTTPConnectionPool(host='tx-websterpolice.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396ba183d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
tx-westlake.civicplus.com,http://tx-westlake.civicplus.com/,200,[],2020-07-02T23:44:44.649450,
tx-westlakehills.civicplus.com,https://www.westlakehills.org/,200,[<Response [302]>],2020-07-02T23:44:45.756286,
tx-westuniversityplace.civicplus.com,https://www.westutx.gov/,200,[<Response [302]>],2020-07-02T23:44:47.403041,
tx-whitesettlement.civicplus.com,http://tx-whitesettlement.civicplus.com/,200,[],2020-07-02T23:44:47.864208,
tx-wichitafalls.civicplus.com,http://tx-wichitafalls.civicplus.com/,200,[],2020-07-02T23:44:48.587048,
tx-wichitafalls2.civicplus.com,http://tx-wichitafalls2.civicplus.com/,200,[],2020-07-02T23:44:49.377212,
tx-wichitafalls3.civicplus.com,http://tx-wichitafalls3.civicplus.com/,200,[],2020-07-02T23:44:50.260257,
tx-willis.civicplus.com,http://tx-willis.civicplus.com/,200,[],2020-07-02T23:44:50.713031,
tx-windcrest3.civicplus.com,http://tx-windcrest3.civicplus.com/,200,[],2020-07-02T23:44:51.468055,
tx-windcrestedc.civicplus.com,https://windcrest-txedc.com/,200,[<Response [302]>],2020-07-02T23:44:52.592782,
tx-workforcesolutions.civicplus.com,http://tx-workforcesolutions.civicplus.com/,404,[],2020-07-02T23:44:52.726218,
tx-workforcesolutionsne.civicplus.com,http://tx-workforcesolutionsne.civicplus.com/,200,[],2020-07-02T23:44:53.259748,
tx-workforcesolutionsne2.civicplus.com,http://tx-workforcesolutionsne2.civicplus.com/,200,[],2020-07-02T23:44:53.763214,
uptimerob.civicplus.com,https://uptimerob.civicplus.com/,200,[<Response [302]>],2020-07-02T23:44:54.039356,
ut-americanfork.civicplus.com,https://www.americanfork.gov/,200,[<Response [302]>],2020-07-02T23:44:54.935276,
ut-beavercounty.civicplus.com,https://www.beaver.utah.gov/,200,[<Response [302]>],2020-07-02T23:44:55.609000,
ut-bluffdale.civicplus.com,http://ut-bluffdale.civicplus.com/,200,[],2020-07-02T23:44:56.119143,
ut-cedarcity.civicplus.com,https://www.cedarcity.org/,200,[<Response [302]>],2020-07-02T23:44:57.116097,
ut-cedarcity2.civicplus.com,https://www.cedarcity.org/,200,[<Response [302]>],2020-07-02T23:44:58.027377,
ut-cedarcity3.civicplus.com,https://www.cedarcity.org/,200,[<Response [302]>],2020-07-02T23:44:58.968076,
ut-clintoncity.civicplus.com,http://ut-clintoncity.civicplus.com/,200,[],2020-07-02T23:44:59.493787,
ut-daggettcounty-old.civicplus.com,http://ut-daggettcounty-old.civicplus.com/,200,[],2020-07-02T23:44:59.634526,
ut-daggettcounty.civicplus.com,http://ut-daggettcounty.civicplus.com/,200,[],2020-07-02T23:45:00.476697,
ut-drapercity.civicplus.com,http://ut-drapercity.civicplus.com/,200,[],2020-07-02T23:45:01.038327,
ut-drapercity2.civicplus.com,http://ut-drapercity2.civicplus.com/,200,[],2020-07-02T23:45:01.653425,
ut-ephraim.civicplus.com,http://ut-ephraim.civicplus.com/,200,[],2020-07-02T23:45:02.100480,
ut-fruitheightscity.civicplus.com,https://www.fruitheightscity.com/,200,[<Response [302]>],2020-07-02T23:45:02.891372,
ut-fruitheightscity3.civicplus.com,https://www.fruitheightscity.com/,200,[<Response [302]>],2020-07-02T23:45:03.570042,
ut-grandcounty.civicplus.com,https://www.grandcountyutah.net/,200,[<Response [302]>],2020-07-02T23:45:04.270854,
ut-hebercity.civicplus.com,https://www.heberut.gov/,200,[<Response [302]>],2020-07-02T23:45:05.211318,
ut-highlandcity.civicplus.com,https://www.highlandcity.org/,200,[<Response [302]>],2020-07-02T23:45:06.233303,
ut-kanab.civicplus.com,http://ut-kanab.civicplus.com/,200,[],2020-07-02T23:45:06.877345,
ut-kaysville.civicplus.com,https://www.kaysvillecity.com/,200,[<Response [302]>],2020-07-02T23:45:07.694924,
ut-millcreek.civicplus.com,https://millcreek.us/,200,[<Response [302]>],2020-07-02T23:45:08.292909,
ut-moab.civicplus.com,https://moabcity.org/,200,[<Response [302]>],2020-07-02T23:45:09.119875,
ut-moabparksandrec.civicplus.com,https://moabrecreation.org/,200,[<Response [302]>],2020-07-02T23:45:09.857160,
ut-murraycity.civicplus.com,https://www.murray.utah.gov/,200,[<Response [302]>],2020-07-02T23:45:10.825325,
ut-murraycity2.civicplus.com,https://www.murray.utah.gov/,200,[<Response [302]>],2020-07-02T23:45:11.661665,
ut-nephicity.civicplus.com,https://www.nephi.utah.gov/,200,[<Response [302]>],2020-07-02T23:45:12.420855,
ut-northsaltlake.civicplus.com,http://ut-northsaltlake.civicplus.com/,200,[],2020-07-02T23:45:13.102227,
